match_id,match_seq_num,patch,region,start_time,duration,game_mode,skill,first_blood_time,barracks_status_dire,barracks_status_radiant,tower_status_dire,tower_status_radiant,dire_score,radiant_score,radiant_win
6026301401,5046892052,48,5,1622816162,1946,22,1,233,0,63,0,1846,23,39,True
6026301315,5046897528,48,5,1622816163,2215,22,1,9,0,63,0,1975,32,50,True
6026301314,5046904063,48,17,1622816163,2477,22,,129,0,63,0,1982,20,41,True
6026301312,5046892864,48,5,1622816162,2002,22,,91,63,0,2046,0,31,16,False
6026301309,5046905300,48,5,1622816158,2552,22,1,124,63,51,1956,262,40,40,False
6026301306,5046912259,48,8,1622816157,2791,22,1,0,1,51,1536,388,66,51,False
6026301303,5046902686,48,5,1622816148,2456,22,1,8,63,0,1974,0,44,40,False
6026301302,5046910230,48,5,1622816148,2758,22,,76,51,63,391,1956,29,47,True
6026301301,5046898962,48,8,1622816137,2152,22,1,109,52,63,0,1974,45,58,True
6026301202,5046890602,48,5,1622816158,1883,22,1,115,63,0,2047,0,54,17,False
6026301111,5046898162,48,13,1622816153,2264,22,,122,63,0,1982,0,34,26,False
6026301108,5046901473,48,20,1622816154,2390,22,1,91,63,0,2046,0,51,41,False
6026301107,5046892001,48,5,1622816143,1946,22,1,302,51,63,388,1982,9,28,True
6026301106,5046912822,48,9,1622816153,2789,22,,129,51,63,260,1796,39,44,True
6026301013,5046888254,48,8,1622816153,1774,22,1,45,63,48,1983,384,42,16,False
6026301012,5046890831,48,8,1622816152,1879,22,1,178,63,51,2046,260,46,17,False
6026301011,5046879263,48,5,1622816152,1382,22,1,179,3,63,6,2047,10,30,True
6026301010,5046929905,48,5,1622816149,3484,22,,125,3,63,4,390,32,57,True
6026301005,5046888302,48,8,1622816138,1688,22,3,94,3,63,6,2046,17,28,True
6026301004,5046906329,48,20,1622816144,2630,22,1,0,0,63,0,1959,34,49,True
6026301003,5046913640,48,5,1622816143,2957,22,,21,63,0,1974,0,45,26,False
6026301001,5046916467,48,5,1622816142,2969,22,,225,51,48,896,384,39,35,False
6026300906,5046883798,48,5,1622816147,1574,22,1,120,63,3,2047,6,50,15,False
6026300904,5046906884,48,5,1622816148,2569,22,,176,60,63,416,1796,32,37,True
6026300807,5046883772,48,3,1622816143,1379,22,1,62,0,63,0,2047,12,39,True
6026300804,5046908296,48,8,1622816143,2628,22,2,18,3,12,4,1568,44,49,True
6026300802,5046896759,48,3,1622816142,2154,22,1,6,63,3,1974,4,55,37,False
6026300801,5046904431,48,5,1622816139,2440,22,,116,0,63,0,1974,27,55,True
6026300800,5046898176,48,8,1622816137,1995,22,1,106,51,63,390,1854,18,46,True
6026300413,5046932133,48,20,1622816124,3758,3,3,172,0,48,0,384,61,58,False
6026300411,5046887782,48,3,1622816129,1735,22,3,0,63,3,2038,4,29,18,False
6026300409,5046893422,48,8,1622816128,2008,22,1,67,63,3,2046,0,55,22,False
6026300408,5046884272,48,8,1622816127,1621,22,3,109,3,63,4,1975,10,31,True
6026300404,5046914021,48,5,1622816127,2927,22,,172,15,63,36,1982,32,55,True
6026300402,5046887047,48,5,1622816124,1693,22,1,20,63,0,2038,0,44,15,False
6026300317,5046924160,48,5,1622816127,3449,22,,72,51,31,388,1572,56,56,True
6026300316,5046921778,48,20,1622816127,3372,3,3,152,51,3,388,1542,38,54,True
6026300315,5046891561,48,5,1622816124,1941,22,1,144,0,63,0,2046,19,34,True
6026300314,5046906742,48,5,1622816124,2392,22,1,159,52,51,256,1540,49,40,True
6026300313,5046907502,48,8,1622816123,2633,22,,2,48,63,384,1846,46,42,True
6026300311,5046906623,48,17,1622816093,2640,22,1,3,0,63,0,1974,35,34,True
6026300212,5046913826,48,5,1622816124,2723,22,,237,51,63,260,1958,27,35,True
6026300211,5046884865,48,20,1622816123,1647,22,3,6,51,63,388,1975,19,47,True
6026300208,5046921539,48,3,1622816122,3250,22,2,57,63,48,1926,384,69,68,False
6026300207,5046899703,48,17,1622816122,2243,22,,120,63,0,2038,0,46,28,False
6026300205,5046899676,48,5,1622816118,2215,22,1,378,0,63,0,1982,20,32,True
6026300204,5046890306,48,5,1622816118,1920,22,1,44,63,3,2038,6,40,25,False
6026300203,5046896447,48,5,1622816118,2188,22,1,6,63,3,2046,0,57,27,False
6026300200,5046910787,48,5,1622816113,2871,22,,268,0,63,0,1590,33,40,True
6026300111,5046909122,48,5,1622816119,2746,22,1,18,55,0,1924,0,37,53,False
6026300109,5046908872,48,13,1622816118,2755,3,2,61,7,51,1540,390,43,37,False
6026300106,5046903577,48,19,1622816118,2528,22,,209,15,63,36,1972,33,36,True
6026300105,5046898548,48,5,1622816118,2271,22,2,108,63,0,1974,0,47,18,False
6026300102,5046918543,48,5,1622816117,3210,22,,0,63,0,1830,0,60,49,False
6026300018,5046899964,48,5,1622816117,2322,22,,159,63,0,2047,0,42,28,False
6026300017,5046912627,48,20,1622816117,2851,22,3,98,63,48,1958,0,68,29,False
6026300015,5046883026,48,8,1622816112,1595,22,1,88,0,63,0,2039,9,44,True
6026300014,5046899603,48,9,1622816108,2366,22,2,109,0,63,0,1974,30,47,True
6026300002,5046900532,48,20,1622816113,2418,3,1,220,63,0,2038,0,32,26,False
6026299906,5046907880,48,8,1622816112,2669,22,,258,48,15,256,1574,41,48,True
6026299609,5046908005,48,3,1622816103,2746,22,,65,0,63,0,2047,29,45,True
6026299608,5046892258,48,8,1622816098,2049,22,3,2,0,63,0,2047,14,37,True
6026299502,5046905094,48,5,1622816097,2520,22,,131,63,0,1958,0,29,32,False
6026299500,5046903941,48,5,1622816097,2554,22,,167,0,63,0,2046,30,37,True
6026299413,5046890418,48,13,1622816093,1794,3,3,111,48,63,384,1975,13,34,True
6026299412,5046884902,48,3,1622816092,1699,22,1,18,63,0,2038,0,37,14,False
6026299410,5046890514,48,3,1622816092,1770,22,1,7,51,63,388,1982,10,46,True
6026299408,5046880316,48,3,1622816074,1499,22,1,78,51,63,388,1982,13,42,True
6026299407,5046918286,48,5,1622816073,3153,22,,155,63,0,1974,0,63,43,False
6026299307,5046916526,48,25,1622816088,3173,3,,124,48,50,0,256,46,44,True
6026299306,5046896827,48,8,1622816088,2213,22,1,47,51,63,262,1974,33,48,True
6026299304,5046893381,48,3,1622816088,2076,22,3,0,63,63,2038,38,50,30,False
6026299218,5046898296,48,3,1622816088,2318,22,1,74,63,51,1972,262,57,38,False
6026299217,5046901820,48,9,1622816088,2454,22,1,66,63,3,1974,4,37,33,False
6026299216,5046902080,48,20,1622816088,2493,22,,247,0,63,0,1975,21,43,True
6026299215,5046884473,48,20,1622816088,1713,3,3,203,51,63,262,1974,15,26,True
6026299207,5046916136,48,3,1622816078,3127,22,,47,63,0,1975,0,58,53,False
6026299206,5046900352,48,8,1622816078,2425,22,,138,63,0,2038,0,48,29,False
6026299205,5046900196,48,18,1622816077,2395,22,,135,63,0,2038,0,52,28,False
6026299204,5046893430,48,5,1622816074,2094,22,1,102,63,15,1974,54,40,22,False
6026299111,5046901934,48,5,1622816083,2429,22,,94,0,63,0,1982,32,68,True
6026299108,5046899459,48,20,1622816083,2371,22,1,333,0,63,0,1975,19,43,True
6026299106,5046895369,48,8,1622816083,2121,22,1,103,63,3,1958,6,45,17,False
6026298718,5046904735,48,9,1622816053,2610,22,,377,3,63,4,1982,24,45,True
6026298717,5046887441,48,19,1622816048,1812,22,1,220,0,63,0,2046,6,46,True
6026298715,5046903033,48,8,1622816043,2488,22,,83,63,51,1974,390,60,41,False
6026298701,5046925306,48,3,1622816069,3499,22,1,3,48,3,256,0,58,52,False
6026298616,5046909026,48,5,1622816059,2712,22,,6,3,63,4,1958,20,44,True
6026298615,5046900985,48,25,1622816052,2459,22,1,237,0,63,0,1926,27,41,True
6026298600,5046910600,48,5,1622816063,2903,22,3,5,0,63,0,1975,25,49,True
6026298519,5046885806,48,5,1622816057,1754,22,2,6,63,3,1846,6,38,27,False
6026298518,5046924454,48,13,1622816059,3526,22,,191,51,59,260,1798,41,29,True
6026298517,5046881573,48,10,1622816059,1592,22,1,92,48,63,256,2047,10,19,True
6026298515,5046891011,48,20,1622816058,1886,22,1,65,63,2,2039,0,34,18,False
6026298512,5046893150,48,20,1622816057,2144,3,3,117,0,63,0,1974,24,37,True
6026298508,5046912190,48,5,1622816032,2949,22,,89,51,60,1924,416,44,37,False
6026298412,5046901749,48,9,1622816059,2505,22,1,0,48,63,384,1828,28,41,True
6026298411,5046888749,48,5,1622816059,1914,22,1,62,48,63,0,2038,27,40,True
6026298409,5046888444,48,13,1622816058,1897,22,1,158,48,63,256,2047,20,31,True
6026298408,5046903736,48,5,1622816058,2401,22,3,143,51,63,260,1974,24,35,True
6026298407,5046905656,48,8,1622816058,2592,22,,86,63,0,2038,0,47,48,False
6026298403,5046908075,48,5,1622816057,2788,22,3,9,15,0,1542,0,59,27,False
6026298401,5046900675,48,8,1622816048,2291,22,1,80,3,63,0,1974,34,49,True
6026298317,5046901158,48,5,1622816059,2470,22,1,2,0,63,0,1958,25,55,True
6026298315,5046897425,48,20,1622816058,2297,22,1,12,63,0,2038,0,58,31,False
6026298311,5046901775,48,3,1622816057,2521,22,2,0,63,48,1846,384,55,30,False
6026298307,5046899388,48,5,1622816043,2356,22,1,6,3,63,4,2047,24,69,True
6026298306,5046885710,48,5,1622816033,1754,22,3,81,63,3,2047,4,53,14,False
6026298218,5046900684,48,5,1622816039,2472,22,2,1,48,63,384,1846,32,45,True
6026298104,5046892297,48,5,1622816049,2057,22,1,159,0,63,0,2046,15,37,True
6026297713,5046908860,48,9,1622816028,2827,22,3,8,51,51,388,902,36,47,True
6026297712,5046889959,48,8,1622816022,1950,22,2,49,48,63,256,2047,15,44,True
6026297702,5046914130,48,9,1622816033,3030,22,,193,4,63,0,1958,42,52,True
6026297701,5046925156,48,13,1622816033,3464,22,,153,51,63,390,1574,59,57,True
6026297618,5046895986,48,19,1622816028,2262,22,,9,51,63,260,1844,23,37,True
6026297617,5046890298,48,3,1622816028,1986,22,,14,63,0,2036,0,33,29,False
6026297616,5046913957,48,8,1622816024,3109,22,3,0,12,3,1568,6,41,32,False
6026297517,5046885074,48,8,1622816027,1777,22,1,91,63,51,1972,260,40,19,False
6026297515,5046891778,48,3,1622816025,1951,22,1,94,63,0,1974,0,31,29,False
6026297514,5046878641,48,13,1622816022,1495,3,3,116,51,63,388,2047,18,38,True
6026297511,5046896954,48,8,1622816022,2244,22,1,122,19,63,4,1982,29,51,True
6026297213,5046895113,48,5,1622816018,2016,22,1,3,63,0,2038,0,38,8,False
6026297202,5046898710,48,8,1622816013,2385,22,3,4,63,0,1974,0,54,26,False
6026297106,5046917051,48,9,1622816014,3037,22,,13,0,7,0,518,54,52,True
6026297103,5046884863,48,20,1622816012,1781,22,1,346,0,63,0,2047,15,28,True
6026297014,5046902364,48,13,1622816008,2576,22,,322,0,63,0,1983,26,55,True
6026297012,5046911584,48,5,1622816003,2954,22,,5,63,0,1972,0,57,34,False
6026297011,5046914194,48,5,1622816003,2984,22,3,281,0,63,0,1830,28,36,True
6026297009,5046892496,48,8,1622815992,2101,22,1,4,3,63,4,2046,37,51,True
6026296916,5046907473,48,3,1622815994,2798,22,,2,0,63,0,1972,33,43,True
6026296914,5046921222,48,20,1622816007,3448,3,2,101,51,3,388,512,61,57,True
6026296913,5046908385,48,20,1622816007,2855,3,1,80,51,63,390,1540,51,43,True
6026296908,5046902678,48,25,1622816003,2534,22,,291,63,0,1958,0,35,29,False
6026296906,5046894816,48,5,1622816003,2216,22,1,159,51,63,260,1972,32,37,True
6026296905,5046885062,48,13,1622815997,1750,22,3,185,0,63,0,2047,13,34,True
6026296904,5046894183,48,3,1622815997,2236,22,1,50,63,0,1974,0,37,23,False
6026296400,5046892739,48,8,1622815982,2133,22,1,49,63,0,2038,0,47,22,False
6026296312,5046889295,48,5,1622815987,2010,22,2,242,63,3,2046,4,37,24,False
6026296310,5046900725,48,8,1622815988,2525,22,,54,0,63,0,1975,38,50,True
6026296306,5046884686,48,8,1622815987,1793,22,,150,51,63,260,1974,37,42,True
6026296303,5046896251,48,17,1622815983,2117,22,1,0,63,3,2038,6,43,33,False
6026296302,5046896923,48,7,1622815983,2352,22,2,0,3,63,6,1972,33,48,True
6026296301,5046889341,48,5,1622815982,2013,22,1,1,0,63,0,2047,16,46,True
6026296217,5046889582,48,8,1622815984,2038,22,1,20,3,63,6,1983,32,62,True
6026296216,5046887554,48,8,1622815984,1922,22,1,165,48,63,384,1983,22,35,True
6026296215,5046894163,48,5,1622815983,2241,22,1,20,0,63,0,1983,15,47,True
6026296214,5046882261,48,8,1622815983,1675,22,1,174,0,63,0,2046,21,28,True
6026296211,5046889252,48,18,1622815977,1911,22,1,85,63,0,2038,0,55,29,False
6026296210,5046900726,48,5,1622815957,2499,22,,115,63,0,2038,0,58,35,False
6026296119,5046901631,48,3,1622815967,2248,22,,108,51,63,388,1972,35,31,True
6026296019,5046894232,48,3,1622815969,2236,22,2,53,63,0,1974,0,38,25,False
6026296017,5046896559,48,8,1622815968,2362,22,1,142,63,0,1974,0,68,25,False
6026296002,5046910177,48,13,1622815979,2954,3,1,215,63,3,1844,6,46,42,False
6026295819,5046896521,48,5,1622815968,2223,22,3,152,60,63,416,1975,30,40,True
6026295813,5046881539,48,8,1622815958,1633,22,1,0,60,63,416,1974,25,43,True
6026295811,5046900040,48,20,1622815938,2516,22,,62,0,63,0,1972,38,40,True
6026295810,5046894731,48,10,1622815933,2237,22,1,1,0,63,0,2038,21,35,True
6026295719,5046907242,48,5,1622815963,2815,22,2,0,63,0,1924,0,52,37,False
6026295717,5046922079,48,25,1622815958,3325,3,,161,0,63,0,2047,36,39,True
6026295716,5046896706,48,19,1622815958,2365,22,,267,0,63,0,1974,33,50,True
6026295618,5046890535,48,8,1622815958,2062,22,,1,63,51,2047,390,50,20,False
6026295602,5046906216,48,8,1622815964,2694,22,3,126,31,63,6,1830,32,39,True
6026295601,5046889600,48,20,1622815963,2038,22,1,0,51,63,390,2047,27,59,True
6026295415,5046911559,48,3,1622815958,3062,22,1,5,49,3,1792,4,48,41,False
6026294811,5046893927,48,14,1622815933,2268,22,1,141,63,0,1974,0,34,24,False
6026294719,5046912671,48,18,1622815933,3108,22,,8,63,0,1974,0,54,37,False
6026294718,5046893941,48,5,1622815933,2174,22,,188,0,63,0,2039,18,32,True
6026294717,5046891008,48,20,1622815933,2149,22,,108,3,63,4,2039,16,41,True
6026294714,5046890492,48,8,1622815923,2003,22,2,6,0,63,0,1975,41,38,True
6026294713,5046885604,48,5,1622815932,1889,22,1,6,0,63,0,1983,16,49,True
6026294708,5046898527,48,9,1622815927,2443,22,1,7,63,51,1972,262,47,18,False
6026294706,5046891409,48,8,1622815923,2044,22,1,133,15,63,36,2047,36,58,True
6026294705,5046904229,48,9,1622815913,2666,22,1,0,0,63,0,2039,27,58,True
6026294704,5046898457,48,8,1622815917,2500,22,,79,51,48,1926,256,38,33,False
6026294610,5046891646,48,3,1622815928,2179,22,1,7,63,3,1972,6,37,22,False
6026294609,5046900439,48,5,1622815928,2550,22,1,114,15,63,36,1972,39,43,True
6026294605,5046909060,48,19,1622815907,2755,22,,229,63,3,1958,4,45,36,False
6026294518,5046911943,48,13,1622815913,2954,3,,153,51,63,260,1974,19,55,True
6026294517,5046887039,48,13,1622815913,1918,3,1,81,51,63,260,1983,32,40,True
6026294515,5046873576,48,8,1622815912,1305,22,1,87,51,63,262,1982,4,37,True
6026294513,5046885539,48,20,1622815898,1922,3,2,105,0,63,0,2047,20,38,True
6026294406,5046932797,48,5,1622815922,4034,22,3,142,48,51,0,1799,45,48,True
6026294404,5046914730,48,13,1622815922,3235,3,,29,0,63,0,1974,44,63,True
6026294403,5046891135,48,8,1622815922,2021,22,1,41,51,63,262,1958,45,36,True
6026294401,5046885741,48,18,1622815917,1899,22,1,6,51,63,388,1983,13,39,True
6026294400,5046896364,48,8,1622815917,2379,22,1,138,0,63,0,1983,27,40,True
6026294319,5046907559,48,5,1622815903,2792,22,,7,63,0,2022,0,55,25,False
6026294307,5046914287,48,13,1622815918,3181,22,,92,3,3,4,1540,51,73,True
6026294306,5046891993,48,8,1622815912,2191,22,,19,3,63,6,1846,36,44,True
6026294305,5046881488,48,20,1622815918,1712,22,1,153,63,0,1983,0,50,20,False
