match_id,match_seq_num,patch,region,start_time,duration,game_mode,skill,first_blood_time,barracks_status_dire,barracks_status_radiant,tower_status_dire,tower_status_radiant,dire_score,radiant_score,radiant_win
6015302211,5038359834,48,5,1622213515,2369,22,1,11,15,63,54,1846,42,41,True
6015302203,5038346155,48,13,1622213514,1852,3,1,113,48,63,256,1983,6,34,True
6015302202,5038366011,48,19,1622213514,2437,22,1,59,48,63,256,1975,26,42,True
6015302201,5038358815,48,9,1622213511,2355,22,1,9,51,51,1990,260,37,40,False
6015302200,5038349453,48,8,1622213504,1900,22,2,129,63,0,2023,0,41,33,False
6015302113,5038339933,48,25,1622213521,1551,22,2,141,0,63,0,1982,7,27,True
6015302112,5038350637,48,8,1622213521,2014,22,1,46,0,63,0,2047,29,39,True
6015302111,5038360000,48,5,1622213520,2309,22,2,25,0,63,0,1983,31,47,True
6015302108,5038399009,48,5,1622213520,3925,22,,6,63,3,2022,0,53,49,False
6015302107,5038349115,48,5,1622213520,1919,22,1,6,63,0,1974,0,31,17,False
6015302105,5038354345,48,5,1622213519,2138,22,1,269,63,60,2038,416,48,25,False
6015302102,5038357301,48,3,1622213516,2308,22,3,8,63,48,262,1792,44,32,True
6015302101,5038369505,48,5,1622213515,2802,22,,7,63,0,2038,0,46,41,False
6015302100,5038330584,48,2,1622213515,1194,22,3,65,51,63,262,1974,6,22,True
6015302000,5038348415,48,9,1622213519,1913,22,1,103,0,63,0,1983,23,60,True
6015301905,5038366613,48,5,1622213514,2717,22,,3,51,63,390,1828,53,55,True
6015301901,5038360995,48,8,1622213510,2464,22,1,0,3,63,6,1972,34,46,True
6015301900,5038344116,48,3,1622213511,1579,22,1,195,63,0,2046,0,35,15,False
6015301811,5038400487,48,5,1622213509,4144,22,,133,0,51,0,1536,57,59,True
6015301808,5038363213,48,5,1622213510,2461,22,,149,0,63,0,1959,29,61,True
6015301806,5038369198,48,8,1622213510,2799,22,1,12,63,3,1974,0,53,20,False
6015301600,5038368885,48,13,1622213505,2859,3,,170,51,48,260,1920,48,41,True
6015301519,5038347477,48,8,1622213496,1910,22,1,2,63,0,2047,0,49,17,False
6015301517,5038354211,48,13,1622213495,2206,22,1,93,48,63,256,1983,31,55,True
6015301515,5038362793,48,8,1622213490,2490,22,1,0,51,63,390,1974,30,51,True
6015301514,5038371058,48,8,1622213490,2922,22,,0,63,3,1956,4,49,34,False
6015301511,5038353540,48,8,1622213484,2173,22,3,110,63,0,1958,0,32,21,False
6015301418,5038345326,48,10,1622213495,1803,22,1,76,0,63,0,1983,18,33,True
6015301113,5038363194,48,8,1622213489,2558,22,,164,51,63,262,1958,42,58,True
6015301109,5038366607,48,5,1622213470,2552,22,2,72,51,63,388,1846,24,37,True
6015301108,5038351124,48,8,1622213469,1983,22,3,0,51,63,260,1975,26,45,True
6015301018,5038347617,48,20,1622213484,1910,22,1,14,63,3,1982,6,22,16,False
6015301015,5038361670,48,14,1622213481,2524,22,1,138,51,63,260,1974,27,43,True
6015301013,5038357248,48,15,1622213480,2269,22,1,279,63,0,2038,0,45,38,False
6015301012,5038343181,48,8,1622213480,1631,22,1,155,63,51,1982,388,37,22,False
6015300817,5038368966,48,8,1622213470,2779,22,1,151,63,0,2038,0,46,27,False
6015300718,5038357358,48,5,1622213479,2281,22,,174,48,63,256,1847,7,35,True
6015300717,5038355101,48,13,1622213476,2211,22,1,0,63,48,1975,256,48,24,False
6015300714,5038351708,48,19,1622213476,2099,22,3,265,63,0,1974,0,27,14,False
6015300712,5038361495,48,13,1622213474,2525,22,1,45,3,63,4,2038,50,54,True
6015300708,5038357980,48,8,1622213469,2315,22,1,73,63,51,1974,262,29,33,False
6015300707,5038360475,48,10,1622213469,2456,22,1,105,0,63,0,1975,22,38,True
6015300706,5038357824,48,5,1622213467,2389,22,1,110,63,0,1956,0,50,22,False
6015300618,5038369857,48,5,1622213476,2362,22,3,51,63,0,1982,0,42,35,False
6015300616,5038360990,48,5,1622213476,2505,22,3,153,63,0,1974,0,50,29,False
6015300614,5038353431,48,5,1622213475,2181,22,3,10,63,3,1844,6,32,28,False
6015300613,5038362139,48,8,1622213475,2568,22,1,115,63,15,2038,4,42,34,False
6015300610,5038363792,48,25,1622213461,2570,3,1,11,63,0,2038,0,43,18,False
6015300609,5038396150,48,20,1622213469,3680,2,3,73,51,3,1924,0,71,60,False
6015300607,5038365875,48,5,1622213470,2596,22,,15,51,15,388,1540,36,39,True
6015300606,5038378111,48,5,1622213469,2983,22,3,80,63,0,1924,0,46,47,False
6015300605,5038364098,48,5,1622213467,2576,22,1,3,63,0,1968,0,57,18,False
6015300604,5038358910,48,9,1622213467,2430,22,3,118,63,0,1974,0,49,26,False
6015300602,5038360918,48,17,1622213460,2502,22,,83,63,48,1982,0,52,29,False
6015300507,5038379522,48,18,1622213470,3306,3,1,246,12,51,1568,390,57,48,False
6015300505,5038357829,48,25,1622213470,2370,3,1,7,63,0,1968,0,45,26,False
6015300419,5038367948,48,5,1622213469,2796,22,,178,63,0,2038,0,47,33,False
6015300109,5038364884,48,13,1622213444,2690,22,,109,63,0,2038,0,48,31,False
6015300105,5038355136,48,8,1622213439,2288,22,3,88,51,63,388,1983,21,28,True
6015300004,5038355271,48,5,1622213453,2178,22,1,0,63,0,1974,0,40,33,False
6015300003,5038361866,48,5,1622213450,2581,22,1,104,63,0,1974,0,50,30,False
6015300002,5038367543,48,9,1622213450,2781,22,,0,48,47,384,1572,56,54,True
6015300001,5038359135,48,9,1622213450,2384,22,1,110,0,63,0,2039,28,57,True
6015300000,5038347899,48,9,1622213449,1974,22,1,17,0,63,0,1983,19,52,True
6015299914,5038362172,48,13,1622213450,2598,3,2,20,63,0,1956,0,41,35,False
6015299911,5038344576,48,13,1622213449,1855,3,3,0,3,63,4,2046,22,36,True
6015299910,5038367449,48,5,1622213449,2776,22,,41,63,35,1968,4,54,25,False
6015299903,5038370499,48,15,1622213444,2933,22,1,5,0,63,0,2046,34,48,True
6015299901,5038369447,48,8,1622213438,2780,22,1,216,63,1,1846,0,51,42,False
